-51.048,-42.04,5.3515
-4.5776,18.6,25.325
-33.744,10.852,40.324
-6.4306,-76.954,18.029
-23.166,-4.557,-29.371
-32.607,-40.581,-18.654
-38.962,-65.099,26.244
-47.438,-30.837,-20.968
-6.8263,-43.828,16.968
-28.47,-83.716,0.84892
-22.138,31.317,-15.058
-12.56,-65.985,-4.184
-6.0884,36.187,-13.36
-54.047,-23.645,-11.869
-22.854,-29.191,-16.015
-7.1634,-27.05,50.082
-43.757,15.806,10.738
-38.884,38.729,-11.474
-42.433,31.283,1.5036
-10.293,-77.889,6.1511
-42.275,-21.34,36.909
-5.5293,-19.146,33.826
-37.659,-7.8592,37.14
-8.7071,-55.508,32.76
-4.5961,37.899,1.9507
-30.164,44.768,14.428
-9.6053,26.378,37.547
-21.771,-60.384,42.337
-49.84,-10.4,-4.1254
-49.993,-36.494,27.912
-7.3073,64.958,-8.4964
-28.925,13.843,-31.133
-41.233,-20.272,7.222
-34.059,0.43165,-0.73073
-11.609,-17.086,5.1665
-12.444,8.3782,8.4769
-24.472,1.0689,-0.69784
-19.627,-1.9507,-2.8643
-23.385,-20.458,-12.48
-21.583,-3.4758,-17.481
-8.666,11.477,-6.8633
49.109,-38.149,7.4142
3.5519,20.273,24.816
32.542,11.37,41.529
6.3957,-76.106,19.136
21.257,-4.0339,-29.462
31.532,-39.516,-18.072
40.937,-60.128,27.308
46.172,-28.073,-21.191
5.4933,-42.762,17.367
29.423,-81.777,1.8787
21.178,31.208,-14.513
11.969,-64.327,-3.1316
4.4738,39.872,-12.835
52.83,-22.24,-11.344
21.88,-28.564,-15.286
5.3135,-25.271,50.212
43.309,14.474,12.292
38.778,39.43,-9.6156
43.236,30.17,4.5252
10.085,-76.682,7.3772
39.863,-20.216,38.45
3.9815,-17.514,34.054
36.374,-7.0021,38.51
7.7595,-54.704,33.091
4.0277,36.462,2.8181
29.844,45.084,15.306
8.6064,27.75,37.236
20.433,-60.145,43.962
48.979,-7.3813,-4.1819
48.929,-31.747,29.635
7.6105,64.565,-9.5992
26.892,14.381,-29.999
40.479,-17.954,8.2292
32.616,1.3607,-1.1655
9.369,-16.342,5.9188
11.299,9.3474,8.7112
22.894,2.0771,-0.34635
17.596,-2.3063,-1.3566
22.972,-19.635,-12.105
20.296,-3.2415,-16.86
7.0339,11.612,-6.7287
